Patch,EventId,Cur,Event,Period,Date,Time,PreviousRaw,PriorActual,PreviousEffective
previous_missing_filled,CAD::IPPI::m/m,CAD,IPPI (MoM)  (Jul),jul,2021-08-27,20:30,,0.0%,0.0%
previous_missing_filled,USD::Core PCE Price Index::m/m,USD,Core PCE Price Index (MoM)  (Dec),dec,2021-01-29,21:30,,0.0%,0.0%
previous_missing_filled,KRW::Imports::y/y,KRW,Imports (YoY),,2021-02-15,07:55,,3.1%,3.1%
previous_missing_filled,NZD::FPI::m/m,NZD,FPI (MoM)  (Apr),apr,2021-05-13,06:45,,0.0%,0.0%
previous_missing_filled,USD::Beige Book::none,USD,Beige Book,,2021-01-14,03:00,,0.00,0.00
previous_missing_filled,USD::Beige Book::none,USD,Beige Book,,2021-03-04,03:00,,0.00,0.00
previous_missing_filled,USD::Beige Book::none,USD,Beige Book,,2021-04-15,02:00,,0.00,0.00
previous_missing_filled,USD::Beige Book::none,USD,Beige Book,,2021-06-03,02:00,,0.00,0.00
previous_missing_filled,USD::Beige Book::none,USD,Beige Book,,2021-07-15,02:00,,0.00,0.00
previous_missing_filled,USD::Beige Book::none,USD,Beige Book,,2021-09-09,02:00,,0.00,0.00
previous_missing_filled,USD::Beige Book::none,USD,Beige Book,,2021-10-21,02:00,,0.00,0.00
previous_missing_filled,USD::Beige Book::none,USD,Beige Book,,2021-12-02,03:00,,0.00,0.00
previous_missing_filled,JPY::Monetary Policy Meeting Minutes::none,JPY,Monetary Policy Meeting Minutes,,2021-01-26,07:50,,0.00,0.00
previous_missing_filled,JPY::Monetary Policy Meeting Minutes::none,JPY,Monetary Policy Meeting Minutes,,2021-03-19,10:30,,0.00,0.00
previous_missing_filled,JPY::Monetary Policy Meeting Minutes::none,JPY,Monetary Policy Meeting Minutes,,2021-03-24,07:50,,0.00,0.00
previous_missing_filled,JPY::Monetary Policy Meeting Minutes::none,JPY,Monetary Policy Meeting Minutes,,2021-05-06,07:50,,0.00,0.00
previous_missing_filled,JPY::Monetary Policy Meeting Minutes::none,JPY,Monetary Policy Meeting Minutes,,2021-06-23,07:50,,0.00,0.00
previous_missing_filled,JPY::Monetary Policy Meeting Minutes::none,JPY,Monetary Policy Meeting Minutes,,2021-07-21,07:50,,0.00,0.00
previous_missing_filled,JPY::Monetary Policy Meeting Minutes::none,JPY,Monetary Policy Meeting Minutes,,2021-09-28,07:50,,0.00,0.00
previous_missing_filled,JPY::Monetary Policy Meeting Minutes::none,JPY,Monetary Policy Meeting Minutes,,2021-12-22,07:50,,0.00,0.00
