Patch,EventId,Cur,Event,Period,Date,Time,PreviousRaw,PriorActual,PreviousEffective
previous_missing_filled,CHF::snb chairman roth speaks::none,CHF,SNB Chairman Roth Speaks,,2008-06-09,23:00,,0.00,0.00
previous_missing_filled,CHF::snb chairman roth speaks::none,CHF,SNB Chairman Roth Speaks,,2008-09-12,23:00,,0.00,0.00
previous_missing_filled,CHF::snb chairman roth speaks::none,CHF,SNB Chairman Roth Speaks,,2008-11-28,00:00,,0.00,0.00
previous_missing_filled,CHF::snb chairman roth speaks::none,CHF,SNB Chairman Roth Speaks,,2008-12-04,00:00,,0.00,0.00
previous_missing_filled,EUR::ecb president trichet speaks::none,EUR,ECB President Trichet Speaks,,2008-06-02,22:30,,0.00,0.00
previous_missing_filled,EUR::ecb president trichet speaks::none,EUR,ECB President Trichet Speaks,,2008-06-03,22:00,,0.00,0.00
previous_missing_filled,EUR::ecb president trichet speaks::none,EUR,ECB President Trichet Speaks,,2008-06-04,16:30,,0.00,0.00
previous_missing_filled,EUR::ecb president trichet speaks::none,EUR,ECB President Trichet Speaks,,2008-06-10,01:30,,0.00,0.00
previous_missing_filled,EUR::ecb president trichet speaks::none,EUR,ECB President Trichet Speaks,,2008-06-21,00:45,,0.00,0.00
previous_missing_filled,EUR::ecb president trichet speaks::none,EUR,ECB President Trichet Speaks,,2008-06-25,16:15,,0.00,0.00
previous_missing_filled,EUR::ecb president trichet speaks::none,EUR,ECB President Trichet Speaks,,2008-07-02,15:15,,0.00,0.00
previous_missing_filled,EUR::ecb president trichet speaks::none,EUR,ECB President Trichet Speaks,,2008-07-03,20:30,,0.00,0.00
previous_missing_filled,EUR::ecb president trichet speaks::none,EUR,ECB President Trichet Speaks,,2008-07-05,18:00,,0.00,0.00
previous_missing_filled,EUR::ecb president trichet speaks::none,EUR,ECB President Trichet Speaks,,2008-07-06,18:00,,0.00,0.00
previous_missing_filled,EUR::ecb president trichet speaks::none,EUR,ECB President Trichet Speaks,,2008-07-09,15:00,,0.00,0.00
previous_missing_filled,EUR::ecb president trichet speaks::none,EUR,ECB President Trichet Speaks,,2008-07-11,01:45,,0.00,0.00
previous_missing_filled,EUR::ecb president trichet speaks::none,EUR,ECB President Trichet Speaks,,2008-08-07,20:30,,0.00,0.00
previous_missing_filled,EUR::ecb president trichet speaks::none,EUR,ECB President Trichet Speaks,,2008-09-06,14:30,,0.00,0.00
previous_missing_filled,EUR::ecb president trichet speaks::none,EUR,ECB President Trichet Speaks,,2008-09-10,15:00,,0.00,0.00
previous_missing_filled,EUR::ecb president trichet speaks::none,EUR,ECB President Trichet Speaks,,2008-09-12,02:00,,0.00,0.00
previous_missing_filled,EUR::ecb president trichet speaks::none,EUR,ECB President Trichet Speaks,,2008-09-15,17:00,,0.00,0.00
previous_missing_filled,EUR::ecb president trichet speaks::none,EUR,ECB President Trichet Speaks,,2008-09-21,22:00,,0.00,0.00
previous_missing_filled,EUR::ecb president trichet speaks::none,EUR,ECB President Trichet Speaks,,2008-09-22,15:15,,0.00,0.00
previous_missing_filled,EUR::ecb president trichet speaks::none,EUR,ECB President Trichet Speaks,,2008-10-01,00:00,,0.00,0.00
previous_missing_filled,EUR::ecb president trichet speaks::none,EUR,ECB President Trichet Speaks,,2008-10-07,21:30,,0.00,0.00
previous_missing_filled,EUR::ecb president trichet speaks::none,EUR,ECB President Trichet Speaks,,2008-10-10,01:30,,0.00,0.00
previous_missing_filled,EUR::ecb president trichet speaks::none,EUR,ECB President Trichet Speaks,,2008-10-15,00:15,,0.00,0.00
previous_missing_filled,EUR::ecb president trichet speaks::none,EUR,ECB President Trichet Speaks,,2008-10-27,21:55,,0.00,0.00
previous_missing_filled,EUR::ecb president trichet speaks::none,EUR,ECB President Trichet Speaks,,2008-11-10,23:30,,0.00,0.00
previous_missing_filled,EUR::ecb president trichet speaks::none,EUR,ECB President Trichet Speaks,,2008-11-13,02:00,,0.00,0.00
previous_missing_filled,EUR::ecb president trichet speaks::none,EUR,ECB President Trichet Speaks,,2008-11-14,16:00,,0.00,0.00
previous_missing_filled,EUR::ecb president trichet speaks::none,EUR,ECB President Trichet Speaks,,2008-11-19,02:30,,0.00,0.00
previous_missing_filled,EUR::ecb president trichet speaks::none,EUR,ECB President Trichet Speaks,,2008-12-08,22:00,,0.00,0.00
previous_missing_filled,EUR::ecb president trichet speaks::none,EUR,ECB President Trichet Speaks,,2008-12-11,16:05,,0.00,0.00
previous_missing_filled,EUR::ecb president trichet speaks::none,EUR,ECB President Trichet Speaks,,2008-12-16,01:30,,0.00,0.00
previous_missing_filled,EUR::ecb president trichet speaks::none,EUR,ECB President Trichet Speaks,,2008-12-24,01:30,,0.00,0.00
previous_missing_filled,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2008-05-30,03:30,,0.00,0.00
previous_missing_filled,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2008-06-03,22:00,,0.00,0.00
previous_missing_filled,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2008-06-05,03:45,,0.00,0.00
previous_missing_filled,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2008-06-10,09:15,,0.00,0.00
previous_missing_filled,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2008-06-16,22:00,,0.00,0.00
previous_missing_filled,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2008-07-08,20:30,,0.00,0.00
previous_missing_filled,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2008-08-22,22:00,,0.00,0.00
previous_missing_filled,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2008-09-09,21:00,,0.00,0.00
previous_missing_filled,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2008-10-08,01:15,,0.00,0.00
previous_missing_filled,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2008-10-16,00:15,,0.00,0.00
previous_missing_filled,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2008-11-01,02:00,,0.00,0.00
previous_missing_filled,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2008-11-14,21:30,,0.00,0.00
previous_missing_filled,USD::fed chairman bernanke speaks::none,USD,Fed Chairman Bernanke Speaks,,2008-12-05,00:15,,0.00,0.00
previous_missing_filled,GBP::boe mpc member gieve speaks::none,GBP,BoE MPC Member Gieve Speaks,,2008-06-20,03:00,,0.00,0.00
previous_missing_filled,GBP::boe mpc member gieve speaks::none,GBP,BoE MPC Member Gieve Speaks,,2008-07-18,22:45,,0.00,0.00
previous_missing_filled,GBP::boe mpc member gieve speaks::none,GBP,BoE MPC Member Gieve Speaks,,2008-09-22,16:00,,0.00,0.00
previous_missing_filled,GBP::boe mpc member gieve speaks::none,GBP,BoE MPC Member Gieve Speaks,,2008-10-28,08:00,,0.00,0.00
previous_missing_filled,GBP::boe mpc member gieve speaks::none,GBP,BoE MPC Member Gieve Speaks,,2008-11-20,02:40,,0.00,0.00
previous_missing_filled,USD::beige book::none,USD,Beige Book,,2008-06-12,03:00,,0.00,0.00
previous_missing_filled,USD::beige book::none,USD,Beige Book,,2008-07-24,02:00,,0.00,0.00
previous_missing_filled,USD::beige book::none,USD,Beige Book,,2008-09-04,02:00,,0.00,0.00
previous_missing_filled,USD::beige book::none,USD,Beige Book,,2008-10-16,02:00,,0.00,0.00
previous_missing_filled,USD::beige book::none,USD,Beige Book,,2008-12-04,03:00,,0.00,0.00
previous_missing_filled,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2008-05-23,08:50,,0.00,0.00
previous_missing_filled,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2008-06-18,07:50,,0.00,0.00
previous_missing_filled,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2008-07-18,07:50,,0.00,0.00
previous_missing_filled,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2008-08-22,07:50,,0.00,0.00
previous_missing_filled,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2008-09-22,07:50,,0.00,0.00
previous_missing_filled,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2008-10-10,07:50,,0.00,0.00
previous_missing_filled,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2008-11-06,07:50,,0.00,0.00
previous_missing_filled,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2008-11-27,07:50,,0.00,0.00
previous_missing_filled,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2008-12-25,07:50,,0.00,0.00
previous_missing_filled,GBP::boe mpc treasury committee hearings::none,GBP,BoE MPC Treasury Committee Hearings,,2008-06-26,16:45,,0.00,0.00
previous_missing_filled,GBP::boe mpc treasury committee hearings::none,GBP,BoE MPC Treasury Committee Hearings,,2008-09-11,16:45,,0.00,0.00
previous_missing_filled,GBP::boe mpc treasury committee hearings::none,GBP,BoE MPC Treasury Committee Hearings,,2008-11-25,17:45,,0.00,0.00
previous_missing_filled,USD::treasury secretary paulson speaks::none,USD,Treasury Secretary Paulson Speaks,,2008-07-02,23:00,,0.00,0.00
previous_missing_filled,USD::treasury secretary paulson speaks::none,USD,Treasury Secretary Paulson Speaks,,2008-07-22,20:10,,0.00,0.00
previous_missing_filled,USD::treasury secretary paulson speaks::none,USD,Treasury Secretary Paulson Speaks,,2008-08-01,01:00,,0.00,0.00
previous_missing_filled,USD::treasury secretary paulson speaks::none,USD,Treasury Secretary Paulson Speaks,,2008-09-16,22:00,,0.00,0.00
previous_missing_filled,USD::treasury secretary paulson speaks::none,USD,Treasury Secretary Paulson Speaks,,2008-10-22,07:30,,0.00,0.00
previous_missing_filled,USD::treasury secretary paulson speaks::none,USD,Treasury Secretary Paulson Speaks,,2008-10-28,22:00,,0.00,0.00
previous_missing_filled,USD::treasury secretary paulson speaks::none,USD,Treasury Secretary Paulson Speaks,,2008-11-18,22:30,,0.00,0.00
previous_missing_filled,USD::treasury secretary paulson speaks::none,USD,Treasury Secretary Paulson Speaks,,2008-11-21,03:00,,0.00,0.00
previous_missing_filled,USD::treasury secretary paulson speaks::none,USD,Treasury Secretary Paulson Speaks,,2008-12-03,00:30,,0.00,0.00
previous_missing_filled,USD::fomc meeting minutes::none,USD,FOMC Meeting Minutes,,2008-05-22,03:00,,0.00,0.00
previous_missing_filled,USD::fomc meeting minutes::none,USD,FOMC Meeting Minutes,,2008-07-17,02:00,,0.00,0.00
previous_missing_filled,USD::fomc meeting minutes::none,USD,FOMC Meeting Minutes,,2008-08-27,02:00,,0.00,0.00
previous_missing_filled,USD::fomc meeting minutes::none,USD,FOMC Meeting Minutes,,2008-10-08,02:00,,0.00,0.00
previous_missing_filled,USD::fomc meeting minutes::none,USD,FOMC Meeting Minutes,,2008-11-20,03:00,,0.00,0.00
previous_missing_filled,USD::fed governor warsh speaks::none,USD,Fed Governor Warsh Speaks,,2008-05-22,02:00,,0.00,0.00
previous_missing_filled,AUD::rba bulletin::none,AUD,RBA Bulletin,,2008-06-19,09:30,,0.00,0.00
previous_missing_filled,AUD::rba bulletin::none,AUD,RBA Bulletin,,2008-07-17,09:30,,0.00,0.00
