Issue,EventId,Cur,Event,Period,Date,Time,PreviousRaw,PriorActual,PreviousEffective,Details
previous_missing_filled,BHD::private sector credit::y/y,BHD,Private Sector Credit (YoY)  (Sep),sep,2016-01-13,06:00,,5.70%,5.70%,
previous_missing_filled,BHD::private sector credit::y/y,BHD,Private Sector Credit (YoY)  (Nov),nov,2016-03-15,06:00,,5.70%,5.70%,
previous_missing_filled,BHD::private sector credit::y/y,BHD,Private Sector Credit (YoY)  (Feb),feb,2016-06-16,05:00,,5.70%,5.70%,
stale_missing_actual_dropped,USD::beige book::none,USD,Beige Book,,2016-01-14,03:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::beige book::none,USD,Beige Book,,2016-03-03,03:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::beige book::none,USD,Beige Book,,2016-04-14,02:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::beige book::none,USD,Beige Book,,2016-06-02,02:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::beige book::none,USD,Beige Book,,2016-07-14,02:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::beige book::none,USD,Beige Book,,2016-09-08,02:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::beige book::none,USD,Beige Book,,2016-10-20,02:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::beige book::none,USD,Beige Book,,2016-12-01,03:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2016-02-03,07:50,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2016-03-18,07:50,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2016-05-09,07:50,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2016-06-21,07:50,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2016-08-03,07:50,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2016-09-27,07:50,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2016-11-07,07:50,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2016-12-26,07:50,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,NZD::manufacturing sales volume::q/q,NZD,Manufacturing Sales Volume (QoQ)  (Q3),q3,2016-12-07,05:45,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fomc meeting minutes::none,USD,FOMC Meeting Minutes,,2016-01-07,03:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fomc meeting minutes::none,USD,FOMC Meeting Minutes,,2016-02-18,03:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fomc meeting minutes::none,USD,FOMC Meeting Minutes,,2016-04-07,02:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fomc meeting minutes::none,USD,FOMC Meeting Minutes,,2016-05-19,02:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fomc meeting minutes::none,USD,FOMC Meeting Minutes,,2016-07-07,02:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fomc meeting minutes::none,USD,FOMC Meeting Minutes,,2016-08-18,02:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fomc meeting minutes::none,USD,FOMC Meeting Minutes,,2016-10-13,02:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::fomc meeting minutes::none,USD,FOMC Meeting Minutes,,2016-11-24,03:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,AUD::rba bulletin::none,AUD,RBA Bulletin,,2016-03-17,08:30,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,AUD::rba bulletin::none,AUD,RBA Bulletin,,2016-06-16,09:30,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,AUD::rba bulletin::none,AUD,RBA Bulletin,,2016-09-15,09:30,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,AUD::rba bulletin::none,AUD,RBA Bulletin,,2016-12-15,08:30,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,INR::cumulative industrial production::none,INR,Cumulative Industrial Production  (Apr),apr,2016-06-10,20:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,INR::infrastructure output::y/y,INR,Infrastructure Output (YoY)  (Dec),dec,2016-01-29,19:30,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,INR::infrastructure output::y/y,INR,Infrastructure Output (YoY),,2016-04-29,19:30,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,ARS::unemployment rate::none,ARS,Unemployment Rate,,2016-04-30,03:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,INR::wpi manufacturing inflation::y/y,INR,WPI Manufacturing Inflation (YoY)  (Mar),mar,2016-04-14,14:30,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,EUR::german 12 - month bubill auction::none,EUR,German 12-Month Bubill Auction,,2016-11-22,19:40,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,EUR::greek cpi::y/y,EUR,Greek CPI (YoY)  (Nov),nov,2016-12-03,18:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,ARS::trade balance::none,ARS,Trade Balance  (Nov),nov,2016-01-19,03:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,ILS::budget balance::none,ILS,Budget Balance  (Mar),mar,2016-04-07,23:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,ILS::budget balance::none,ILS,Budget Balance  (May),may,2016-06-09,21:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,ILS::budget balance::none,ILS,Budget Balance  (Sep),sep,2016-10-06,23:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,ILS::budget balance::none,ILS,Budget Balance,,2016-12-05,20:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,ILS::budget balance::none,ILS,Budget Balance  (Nov),nov,2016-12-12,23:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,ILS::budget balance::none,ILS,Budget Balance  (Nov),nov,2016-12-14,23:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,ARS::cpi::m/m,ARS,CPI (MoM),,2016-01-19,03:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
