Date,Day,Time,Cur.,Imp.,Event,Actual,Forecast,Previous
2007-01-01,Monday,17:00,GBP,Low,Core RPI (MoM)  (Dec),0.60%,,0.40%
2007-01-01,Monday,17:00,GBP,Low,Core RPI (YoY)  (Dec),3.80%,,3.40%
2007-01-01,Monday,17:00,CAD,Medium,Core Retail Sales (MoM)  (Dec),2.40%,,-0.10%
2007-01-01,Monday,17:00,USD,High,Core Retail Sales (MoM)  (Dec),1.90%,,0.00%
2007-01-01,Monday,17:00,GBP,Medium,Core Retail Sales (MoM)  (Dec),0.60%,,0.20%
2007-01-01,Monday,17:00,GBP,Medium,Core Retail Sales (YoY)  (Dec),2.70%,,1.80%
2007-01-01,Monday,17:00,USD,High,Crude Oil Inventories  (Dec),-4.82M,,1.25M
2007-01-01,Monday,17:00,USD,Low,Dallas Fed Mfg Business Index  (Dec),-6.90,,4.70
2007-01-01,Monday,17:00,USD,Low,Dallas Fed PCE  (Dec),3.20%,,1.20%
2007-01-01,Monday,17:00,USD,Low,Domestic Truck Sales  (Dec),7.21M,,7.28M
2007-01-01,Monday,17:00,USD,Low,Durables Excluding Defense (MoM)  (Dec),2.50%,,1.70%
2007-01-01,Monday,17:00,USD,Low,EIA Weekly Distillates Stocks  (Dec),0.74M,,-1.76M
2007-01-01,Monday,17:00,MXN,Low,Economic Activity (MoM)  (Dec),0.57%,,-0.13%
2007-01-01,Monday,17:00,MXN,Low,Economic Activity (YoY)  (Dec),2.98%,,3.76%
2007-01-01,Monday,17:00,CAD,Medium,Employment Change  (Dec),64.30K,,27.60K
2007-01-01,Monday,17:00,USD,High,Existing Home Sales  (Dec),6.40M,,6.34M
2007-01-01,Monday,17:00,USD,Medium,Existing Home Sales (MoM)  (Dec),0.90%,,-0.30%
2007-01-01,Monday,17:00,USD,Medium,Export Price Index (MoM)  (Dec),0.60%,,0.40%
2007-01-01,Monday,17:00,CAD,Low,Exports  (Dec),40.31B,,37.72B
2007-01-01,Monday,17:00,USD,Medium,Factory Orders (MoM)  (Dec),2.30%,,3.10%
2007-01-01,Monday,17:00,USD,Low,Factory orders ex transportation (MoM)  (Dec),3.40%,,0.90%
2007-01-01,Monday,17:00,USD,Medium,Federal Budget Balance  (Dec),42.00B,,-73.00B
2007-01-01,Monday,17:00,MXN,Low,Fiscal Balance  (Dec),-148.58B,,1.69B
2007-01-01,Monday,17:00,CAD,Medium,Foreign Securities Purchases  (Dec),-1.58B,,11.80B
2007-01-01,Monday,17:00,CAD,Low,Foreign Securities Purchases by Canadians  (Dec),5.35B,,5.28B
2007-01-01,Monday,17:00,CAD,Low,Full Employment Change  (Dec),36.40K,,-11.20K
2007-01-01,Monday,17:00,CAD,Medium,GDP (MoM)  (Dec),0.70%,,0.30%
2007-01-01,Monday,17:00,USD,Low,Gasoline Inventories  (Dec),2.21M,,-0.94M
2007-01-01,Monday,17:00,GBP,Low,GfK Consumer Confidence  (Dec),-8.00,,-7.00
2007-01-01,Monday,17:00,USD,Low,Government Payrolls  (Dec),5.00K,,15.00K
2007-01-01,Monday,17:00,MXN,Low,Gross Fixed Investments (MoM)  (Dec),2.34%,,0.11%
2007-01-01,Monday,17:00,MXN,Low,Gross Fixed Investments (YoY)  (Dec),4.86%,,6.55%
2007-01-01,Monday,17:00,GBP,Medium,Halifax House Price Index (MoM)  (Dec),-1.80%,,2.10%
2007-01-01,Monday,17:00,GBP,Medium,Halifax House Price Index (YoY)  (Dec),9.90%,,9.60%
2007-01-01,Monday,17:00,USD,Low,House Price Index  (Dec),225.10,,224.90
2007-01-01,Monday,17:00,USD,Low,House Price Index (MoM)  (Dec),0.10%,,0.30%
2007-01-01,Monday,17:00,USD,Low,House Price Index (YoY)  (Dec),2.60%,,3.10%
2007-01-01,Monday,17:00,CAD,Medium,Housing Starts  (Dec),210.40K,,235.70K
2007-01-01,Monday,17:00,USD,Medium,Housing Starts  (Dec),1.65M,,1.57M
2007-01-01,Monday,17:00,USD,Medium,Housing Starts (MoM)  (Dec),5.00%,,5.30%
2007-01-01,Monday,17:00,CAD,Low,IPPI (MoM)  (Dec),1.40%,,0.10%
2007-01-01,Monday,17:00,CAD,Low,IPPI (YoY)  (Dec),3.40%,,1.70%
2007-01-01,Monday,17:00,USD,Medium,ISM Manufacturing Employment  (Dec),49.80,,49.20
2007-01-01,Monday,17:00,USD,Low,ISM Manufacturing New Orders Index  (Dec),51.40,,50.80
2007-01-01,Monday,17:00,USD,High,ISM Manufacturing PMI  (Dec),51.40,,50.30
2007-01-01,Monday,17:00,USD,High,ISM Manufacturing Prices  (Dec),47.50,,53.50
2007-01-01,Monday,17:00,USD,Low,ISM Non-Manufacturing Business Activity  (Dec),56.10,,59.20
2007-01-01,Monday,17:00,USD,Medium,ISM Non-Manufacturing Employment  (Dec),52.70,,52.20
2007-01-01,Monday,17:00,USD,Low,ISM Non-Manufacturing New Orders  (Dec),54.80,,56.70
2007-01-01,Monday,17:00,USD,High,ISM Non-Manufacturing PMI  (Dec),53.70,,54.50
2007-01-01,Monday,17:00,USD,High,ISM Non-Manufacturing Prices  (Dec),60.50,,56.70
2007-01-01,Monday,17:00,USD,Low,ISM-New York Index  (Dec),428.40,,428.70
2007-01-01,Monday,17:00,USD,Medium,Import Price Index (MoM)  (Dec),1.10%,,0.40%
2007-01-01,Monday,17:00,CAD,Low,Imports  (Dec),34.93B,,34.16B
2007-01-01,Monday,17:00,USD,Medium,Industrial Production (MoM)  (Dec),1.00%,,-0.10%
2007-01-01,Monday,17:00,MXN,Low,Industrial Production (MoM)  (Dec),-0.49%,,0.09%
2007-01-01,Monday,17:00,GBP,Medium,Industrial Production (MoM)  (Dec),-0.90%,,0.50%
2007-01-01,Monday,17:00,MXN,Low,Industrial Production (YoY)  (Dec),0.10%,,3.03%
2007-01-01,Monday,17:00,GBP,Low,Industrial Production (YoY)  (Dec),-0.60%,,1.40%
2007-01-01,Monday,17:00,USD,High,Initial Jobless Claims  (Dec),323.43K,,327.05K
2007-01-01,Monday,17:00,MXN,Medium,Interest Rate Decision  (Dec),7.00%,,7.00%
2007-01-01,Monday,17:00,CAD,Low,Ivey PMI n.s.a  (Dec),49.40,,52.80
2007-01-01,Monday,17:00,USD,High,JOLTS Job Openings  (Dec),4.55M,,4.62M
2007-01-01,Monday,17:00,USD,Low,Jobless Claims 4-Week Avg.  (Dec),324.56K,,322.13K
2007-01-01,Monday,17:00,USD,Low,KC Fed Composite Index  (Dec),10.00,,9.00
2007-01-01,Monday,17:00,USD,Low,KC Fed Manufacturing Index  (Dec),8.00,,11.00
2007-01-01,Monday,17:00,GBP,Low,M4 Money Supply (MoM)  (Dec),0.90%,,0.50%
2007-01-01,Monday,17:00,USD,Low,MBA 30-Year Mortgage Rate  (Dec),6.11%,,6.12%
2007-01-01,Monday,17:00,USD,Low,MBA Purchase Index  (Dec),424.46,,409.91
2007-01-01,Monday,17:00,USD,Low,Manufacturing Payrolls  (Dec),-26.00K,,-34.00K
2007-01-01,Monday,17:00,GBP,Medium,Manufacturing Production (MoM)  (Dec),-0.30%,,0.50%
2007-01-01,Monday,17:00,USD,Low,Manufacturing Production (MoM)  (Dec),1.50%,,0.00%
2007-01-01,Monday,17:00,GBP,Low,Manufacturing Production (YoY)  (Dec),2.30%,,3.30%
2007-01-01,Monday,17:00,CAD,Low,Manufacturing Sales (MoM)  (Dec),4.90%,,1.90%
2007-01-01,Monday,17:00,USD,Medium,Michigan 1-Year Inflation Expectations  (Dec),2.90%,,3.00%
2007-01-01,Monday,17:00,USD,Medium,Michigan 5-Year Inflation Expectations  (Dec),3.00%,,3.00%
2007-01-01,Monday,17:00,USD,Medium,Michigan Consumer Expectations  (Dec),78.60,,83.20
2007-01-01,Monday,17:00,USD,Medium,Michigan Consumer Sentiment  (Dec),91.70,,92.30
2007-01-01,Monday,17:00,USD,Low,Michigan Current Conditions  (Dec),108.10,,106.50
2007-01-01,Monday,17:00,USD,Low,Midwest Manufacturing  (Dec),98.80,,97.40
2007-01-01,Monday,17:00,GBP,Low,Mortgage Approvals  (Dec),119.41K,,130.00K
2007-01-01,Monday,17:00,GBP,Low,Mortgage Lending  (Dec),9.60B,,10.00B
2007-01-01,Monday,17:00,USD,Low,Mortgage Market Index  (Dec),626.12,,627.44
2007-01-01,Monday,17:00,USD,Low,Mortgage Refinance Index  (Dec),"1,884.80",,"1,917.64"
2007-01-01,Monday,17:00,USD,Low,NAHB Housing Market Index  (Dec),33.00,,33.00
2007-01-01,Monday,17:00,USD,Low,NFIB Small Business Optimism  (Dec),96.50,,99.70
2007-01-01,Monday,17:00,USD,Medium,NY Empire State Manufacturing Index  (Dec),20.12,,22.85
2007-01-01,Monday,17:00,GBP,Medium,Nationwide HPI (MoM)  (Dec),1.60%,,1.60%
2007-01-01,Monday,17:00,GBP,Medium,Nationwide HPI (YoY)  (Dec),10.50%,,9.60%
2007-01-01,Monday,17:00,USD,Low,Natural Gas Storage  (Dec),-79.57B,,-9.32B
2007-01-01,Monday,17:00,USD,High,New Home Sales  (Dec),998.00K,,"1,003.00K"
2007-01-01,Monday,17:00,USD,Medium,New Home Sales (MoM)  (Dec),-0.50%,,6.60%
2007-01-01,Monday,17:00,CAD,Medium,New Housing Price Index (MoM)  (Dec),0.00%,,0.50%
2007-01-01,Monday,17:00,USD,Low,Overall Net Capital Flow  (Dec),-14.70B,,89.80B
2007-01-01,Monday,17:00,GBP,Medium,PPI Input (MoM)  (Dec),0.90%,,1.30%
2007-01-01,Monday,17:00,GBP,Low,PPI Input (YoY)  (Dec),1.30%,,2.30%
2007-01-01,Monday,17:00,GBP,Low,PPI Output (MoM)  (Dec),0.20%,,-0.10%
2007-01-01,Monday,17:00,GBP,Low,PPI Output (YoY)  (Dec),1.50%,,1.10%
2007-01-01,Monday,17:00,CAD,Low,Part Time Employment Change  (Dec),28.00K,,38.70K
2007-01-01,Monday,17:00,CAD,Low,Participation Rate  (Dec),67.10%,,67.10%
2007-01-01,Monday,17:00,USD,Medium,Pending Home Sales (MoM)  (Dec),2.80%,,2.20%
2007-01-01,Monday,17:00,USD,Low,Pending Home Sales Index  (Dec),112.20,,109.10
2007-01-01,Monday,17:00,USD,Low,Personal Income (MoM)  (Dec),0.80%,,0.50%
2007-01-01,Monday,17:00,USD,Medium,Personal Spending (MoM)  (Dec),0.90%,,0.20%
2007-01-01,Monday,17:00,USD,High,Philadelphia Fed Manufacturing Index  (Dec),-1.70,,5.00
2007-01-01,Monday,17:00,USD,Low,Philly Fed Business Conditions  (Dec),16.40,,16.50
2007-01-01,Monday,17:00,USD,Low,Philly Fed CAPEX Index  (Dec),6.40,,19.20
2007-01-01,Monday,17:00,USD,Medium,Philly Fed Employment  (Dec),8.20,,2.70
2007-01-01,Monday,17:00,USD,Low,Philly Fed New Orders  (Dec),-1.80,,0.70
2007-01-01,Monday,17:00,USD,Low,Philly Fed Prices Paid  (Dec),23.90,,26.70
2007-01-01,Monday,17:00,USD,Medium,Private Nonfarm Payrolls  (Dec),167.00K,,194.00K
2007-01-01,Monday,17:00,GBP,Low,Public Sector Net Borrowing  (Dec),7.12B,,9.55B
2007-01-01,Monday,17:00,GBP,Low,Public Sector Net Cash Requirement  (Dec),13.51B,,7.47B
2007-01-01,Monday,17:00,CAD,Medium,RMPI (MoM)  (Dec),5.00%,,0.20%
2007-01-01,Monday,17:00,CAD,Low,RMPI (YoY)  (Dec),11.40%,,4.70%
2007-01-01,Monday,17:00,GBP,Low,RPI (MoM)  (Dec),0.80%,,0.30%
2007-01-01,Monday,17:00,GBP,Low,RPI (YoY)  (Dec),4.40%,,3.90%
2007-01-01,Monday,17:00,USD,Low,Real Earnings (MoM)  (Dec),0.50%,,0.10%
2007-01-01,Monday,17:00,USD,Low,Real Personal Consumption (MoM)  (Dec),0.50%,,0.20%
2007-01-01,Monday,17:00,USD,Low,Redbook (MoM)  (Dec),-1.59%,,-0.15%
2007-01-01,Monday,17:00,USD,Low,Redbook (YoY)  (Dec),2.83%,,2.99%
2007-01-01,Monday,17:00,USD,Medium,Retail Control (MoM)  (Dec),1.30%,,0.00%
2007-01-01,Monday,17:00,GBP,Medium,Retail Sales (MoM)  (Dec),0.20%,,0.20%
2007-01-01,Monday,17:00,USD,High,Retail Sales (MoM)  (Dec),1.50%,,0.20%
2007-01-01,Monday,17:00,CAD,Medium,Retail Sales (MoM)  (Dec),2.10%,,0.70%
2007-01-01,Monday,17:00,GBP,Medium,Retail Sales (YoY)  (Dec),3.60%,,3.10%
2007-01-01,Monday,17:00,USD,Low,Retail Sales Ex Gas/Autos (MoM)  (Dec),1.60%,,-0.10%
2007-01-01,Monday,17:00,USD,Low,Richmond Manufacturing Index  (Dec),-2.00,,11.00
2007-01-01,Monday,17:00,USD,Low,Richmond Manufacturing Shipments  (Dec),2.00,,13.00
2007-01-01,Monday,17:00,USD,Low,Richmond Services Index  (Dec),7.00,,10.00
2007-01-01,Monday,17:00,USD,Medium,S&P/CS HPI Composite - 20 n.s.a. (MoM)  (Dec),-0.60%,,-0.40%
2007-01-01,Monday,17:00,USD,Medium,S&P/CS HPI Composite - 20 n.s.a. (YoY)  (Dec),0.70%,,1.80%
2007-01-01,Monday,17:00,USD,Low,S&P/CS HPI Composite - 20 s.a. (MoM)  (Dec),-0.10%,,0.00%
2007-01-01,Monday,17:00,USD,Medium,TIC Net Long-Term Transactions  (Dec),11.80B,,87.10B
2007-01-01,Monday,17:00,USD,Low,TIC Net Long-Term Transactions including Swaps  (Dec),-4.40B,,62.10B
2007-01-01,Monday,17:00,CAD,Medium,Trade Balance  (Dec),5.38B,,3.56B
2007-01-01,Monday,17:00,USD,Medium,Trade Balance  (Dec),-61.60B,,-58.60B
2007-01-01,Monday,17:00,MXN,Low,Trade Balance  (Dec),-1.16B,,-1.61B
2007-01-01,Monday,17:00,GBP,Medium,Trade Balance  (Dec),-7.08B,,-6.97B
2007-01-01,Monday,17:00,MXN,Low,Trade Balance (USD)  (Dec),-0.78B,,-0.92B
2007-01-01,Monday,17:00,GBP,Medium,Trade Balance Non-EU  (Dec),-4.11B,,-4.04B
2007-01-01,Monday,17:00,USD,Low,"US Foreign Buying, T-bonds  (Dec)",10.40B,,33.40B
2007-01-01,Monday,17:00,CAD,Medium,Unemployment Rate  (Dec),6.10%,,6.20%
2007-01-01,Monday,17:00,MXN,Low,Unemployment Rate  (Dec),3.79%,,3.76%
2007-01-01,Monday,17:00,GBP,Medium,Unemployment Rate  (Dec),5.50%,,5.40%
2007-01-01,Monday,17:00,MXN,Low,Unemployment Rate n.s.a.  (Dec),3.32%,,3.50%
2007-01-01,Monday,17:00,USD,Low,Wholesale Inventories (MoM)  (Dec),-0.40%,,1.10%
2007-01-01,Monday,17:00,CAD,Medium,Wholesale Sales (MoM)  (Dec),4.70%,,1.00%
2007-01-04,Thursday,04:30,USD,Medium,Fed's Balance Sheet,874.63B,,869.99B
2007-01-05,Friday,20:30,USD,High,Nonfarm Payrolls  (Dec),172K,,209K
2007-01-06,Saturday,01:00,USD,Medium,U.S. Baker Hughes Oil Rig Count,279,,278
2007-01-07,Sunday,04:30,USD,Medium,CFTC Crude Oil speculative net positions,2.2k,,19.8k
2007-01-11,Thursday,04:30,USD,Medium,Fed's Balance Sheet,854.82B,,874.63B
2007-01-13,Saturday,01:00,USD,Medium,U.S. Baker Hughes Oil Rig Count,269,,279
2007-01-13,Saturday,04:30,USD,Medium,CFTC Crude Oil speculative net positions,-22.4k,,2.2k
2007-01-15,Monday,23:00,ILS,Low,CPI (YoY)  (Dec),-0.1%,,-0.3%
2007-01-18,Thursday,04:30,USD,Medium,Fed's Balance Sheet,859.36B,,854.82B
2007-01-18,Thursday,21:30,USD,High,CPI (MoM)  (Dec),0.5%,,0.0%
2007-01-18,Thursday,21:30,USD,High,CPI (YoY)  (Dec),2.5%,,2.0%
2007-01-18,Thursday,21:30,USD,High,Core CPI (MoM)  (Dec),0.1%,,0.1%
2007-01-18,Thursday,21:30,USD,Medium,Core CPI (YoY)  (Dec),2.6%,,2.6%
2007-01-20,Saturday,01:00,USD,Medium,U.S. Baker Hughes Oil Rig Count,275,,269
2007-01-20,Saturday,04:30,USD,Medium,CFTC Crude Oil speculative net positions,-2.0k,,-22.4k
2007-01-25,Thursday,04:30,USD,Medium,Fed's Balance Sheet,851.76B,,859.36B
2007-01-25,Thursday,17:00,EUR,Medium,German Ifo Business Climate Index,107.9,108.9,108.7
2007-01-27,Saturday,01:00,USD,Medium,U.S. Baker Hughes Oil Rig Count,255,,275
2007-01-27,Saturday,04:30,USD,Medium,CFTC Crude Oil speculative net positions,-8.5k,,-2.0k
2007-02-01,Thursday,04:30,USD,Medium,Fed's Balance Sheet,865.73B,,851.76B
2007-02-01,Thursday,17:00,USD,Medium,5-Year Note Auction  (Jan),4.75%,,4.63%
2007-02-01,Thursday,17:00,USD,Low,All Car Sales  (Jan),7.72M,,7.94M
2007-02-01,Thursday,17:00,USD,Low,All Truck Sales  (Jan),8.68M,,8.63M
2007-02-01,Thursday,17:00,GBP,Medium,Average Earnings Index +Bonus  (Jan),5.40%,,4.70%
2007-02-01,Thursday,17:00,GBP,Low,Average Earnings ex Bonus  (Jan),3.90%,,4.00%
2007-02-01,Thursday,17:00,USD,High,Average Hourly Earnings (MoM)  (Jan),0.10%,,0.40%
2007-02-01,Thursday,17:00,USD,Low,Average Weekly Hours  (Jan),34.50,,34.70
2007-02-01,Thursday,17:00,GBP,Medium,BRC Retail Sales Monitor (YoY)  (Jan),3.10%,,2.50%
2007-02-01,Thursday,17:00,CAD,High,BoC Interest Rate Decision  (Jan),4.25%,,4.25%
2007-02-01,Thursday,17:00,GBP,Low,BoE Consumer Credit  (Jan),0.54B,,0.87B
2007-02-01,Thursday,17:00,GBP,High,BoE Interest Rate Decision  (Jan),5.25%,,5.00%
2007-02-01,Thursday,17:00,CAD,Low,Budget Balance  (Jan),2.40B,,1.29B
2007-02-01,Thursday,17:00,CAD,Low,Budget Balance (YoY)  (Jan),10.60B,,8.20B
2007-02-01,Thursday,17:00,CAD,Medium,Building Permits (MoM)  (Jan),7.70%,,-8.90%
2007-02-01,Thursday,17:00,USD,Medium,Business Inventories (MoM)  (Jan),0.40%,,0.10%
2007-02-01,Thursday,17:00,USD,High,CB Consumer Confidence  (Jan),110.20,,110.00
2007-02-01,Thursday,17:00,USD,Low,CB Employment Trends Index  (Jan),127.30,,126.30
2007-02-01,Thursday,17:00,GBP,Low,CBI Distributive Trades Survey  (Jan),30.00,,25.00
2007-02-01,Thursday,17:00,GBP,Low,CBI Industrial Trends Orders  (Jan),-9.00,,-5.00
2007-02-01,Thursday,17:00,GBP,Medium,CPI (MoM)  (Jan),-0.80%,,0.60%
2007-02-01,Thursday,17:00,MXN,Medium,CPI (MoM)  (Jan),0.52%,,0.58%
2007-02-01,Thursday,17:00,CAD,Medium,CPI (MoM)  (Jan),0.00%,,0.20%
2007-02-01,Thursday,17:00,CAD,Low,CPI (YoY)  (Jan),1.10%,,1.70%
2007-02-01,Thursday,17:00,GBP,High,CPI (YoY)  (Jan),2.70%,,3.00%
2007-02-01,Thursday,17:00,MXN,Medium,CPI (YoY)  (Jan),3.98%,,4.05%
2007-02-01,Thursday,17:00,USD,Low,"CPI Index, n.s.a.  (Jan)",202.42,,201.80
2007-02-01,Thursday,17:00,USD,Low,Capacity Utilization Rate  (Jan),79.70%,,80.30%
2007-02-01,Thursday,17:00,USD,Low,Chain Store Sales (MoM)  (Jan),3.70%,,3.30%
2007-02-01,Thursday,17:00,USD,Low,Chain Store Sales (WoW)  (Jan),0.15%,,1.04%
2007-02-01,Thursday,17:00,USD,Low,Chain Store Sales (YoY)  (Jan),4.47%,,2.55%
2007-02-01,Thursday,17:00,USD,Low,Challenger Job Cuts  (Jan),62.98K,,54.64K
2007-02-01,Thursday,17:00,USD,Low,Chicago Fed National Activity  (Jan),-0.76,,0.87
2007-02-01,Thursday,17:00,USD,High,Chicago PMI  (Jan),52.10,,51.60
2007-02-01,Thursday,17:00,GBP,Medium,Claimant Count Change  (Jan),-14.30K,,-9.40K
2007-02-01,Thursday,17:00,USD,Low,Cleveland CPI (MoM)  (Jan),0.20%,,0.20%
2007-02-01,Thursday,17:00,USD,Medium,Construction Spending (MoM)  (Jan),-0.30%,,1.40%
2007-02-01,Thursday,17:00,SEK,Low,Consumer Confidence  (Jan),106.10,,108.20
2007-02-01,Thursday,17:00,MXN,Low,Consumer Confidence  (Jan),104.20,,107.60
2007-02-01,Thursday,17:00,MXN,Low,Consumer Confidence n.s.a.  (Jan),104.30,,109.70
2007-02-01,Thursday,17:00,USD,Medium,Consumer Credit  (Jan),5.49B,,15.16B
2007-02-01,Thursday,17:00,USD,Medium,Continuing Jobless Claims  (Jan),"2,530.87K",,"2,482.95K"
2007-02-01,Thursday,17:00,MXN,Low,Core CPI (MoM)  (Jan),0.46%,,0.40%
2007-02-01,Thursday,17:00,CAD,Medium,Core CPI (MoM)  (Jan),0.20%,,-0.20%
2007-02-01,Thursday,17:00,CAD,Medium,Core CPI (YoY)  (Jan),2.30%,,2.10%
2007-02-01,Thursday,17:00,USD,Low,Core CPI Index  (Jan),208.60,,208.10
2007-02-01,Thursday,17:00,USD,High,Core PCE Price Index (MoM)  (Jan),0.40%,,0.20%
2007-02-01,Thursday,17:00,USD,High,Core PCE Price Index (YoY)  (Jan),2.40%,,2.10%
2007-02-01,Thursday,17:00,GBP,Low,Core PPI Output (MoM)  (Jan),0.20%,,0.00%
2007-02-01,Thursday,17:00,GBP,Low,Core PPI Output (YoY)  (Jan),1.10%,,1.30%
2007-02-01,Thursday,17:00,GBP,Low,Core RPI (MoM)  (Jan),-0.70%,,0.60%
2007-02-01,Thursday,17:00,GBP,Low,Core RPI (YoY)  (Jan),3.50%,,3.80%
2007-02-01,Thursday,17:00,USD,High,Core Retail Sales (MoM)  (Jan),-0.30%,,1.90%
2007-02-01,Thursday,17:00,GBP,Medium,Core Retail Sales (MoM)  (Jan),-0.70%,,0.60%
2007-02-01,Thursday,17:00,CAD,Medium,Core Retail Sales (MoM)  (Jan),-0.10%,,2.40%
2007-02-01,Thursday,17:00,GBP,Medium,Core Retail Sales (YoY)  (Jan),2.30%,,2.70%
2007-02-01,Thursday,17:00,USD,High,Crude Oil Inventories  (Jan),1.08M,,-4.82M
2007-02-01,Thursday,17:00,USD,Low,Dallas Fed Mfg Business Index  (Jan),0.30,,-6.90
2007-02-01,Thursday,17:00,USD,Low,Dallas Fed PCE  (Jan),3.60%,,3.20%
2007-02-01,Thursday,17:00,USD,Low,Dallas Fed Services Revenues  (Jan),29.30,,
