Date,Day,Time,Cur.,Imp.,Event,Actual,Forecast,Previous
2007-01-01,Monday,17:00,USD,High,10-Year Note Auction  (Dec),4.63%,,4.63%
2007-01-01,Monday,17:00,USD,Medium,5-Year Note Auction  (Dec),4.63%,,4.50%
2007-01-01,Monday,17:00,USD,Low,All Car Sales  (Dec),7.94M,,7.42M
2007-01-01,Monday,17:00,USD,Low,All Truck Sales  (Dec),8.63M,,8.70M
2007-01-01,Monday,17:00,GBP,Medium,Average Earnings Index +Bonus  (Dec),4.70%,,4.10%
2007-01-01,Monday,17:00,GBP,Low,Average Earnings ex Bonus  (Dec),4.00%,,3.80%
2007-01-01,Monday,17:00,USD,High,Average Hourly Earnings (MoM)  (Dec),0.40%,,0.20%
2007-01-01,Monday,17:00,USD,Low,Average Weekly Hours  (Dec),34.70,,34.50
2007-01-01,Monday,17:00,GBP,Medium,BRC Retail Sales Monitor (YoY)  (Dec),2.50%,,0.50%
2007-01-01,Monday,17:00,CAD,High,BoC Interest Rate Decision  (Dec),4.25%,,4.25%
2007-01-01,Monday,17:00,GBP,Low,BoE Consumer Credit  (Dec),0.87B,,0.90B
2007-01-01,Monday,17:00,GBP,High,BoE Interest Rate Decision  (Dec),5.00%,,5.00%
2007-01-01,Monday,17:00,CAD,Low,Budget Balance  (Dec),1.29B,,0.46B
2007-01-01,Monday,17:00,CAD,Low,Budget Balance (YoY)  (Dec),8.20B,,6.91B
2007-01-01,Monday,17:00,CAD,Medium,Building Permits (MoM)  (Dec),-8.90%,,2.40%
2007-01-01,Monday,17:00,USD,Medium,Business Inventories (MoM)  (Dec),0.10%,,0.40%
2007-01-01,Monday,17:00,USD,High,CB Consumer Confidence  (Dec),110.00,,105.30
2007-01-01,Monday,17:00,USD,Low,CB Employment Trends Index  (Dec),126.30,,125.60
2007-01-01,Monday,17:00,GBP,Low,CBI Distributive Trades Survey  (Dec),25.00,,-9.00
2007-01-01,Monday,17:00,GBP,Low,CBI Industrial Trends Orders  (Dec),-5.00,,-6.00
2007-01-01,Monday,17:00,MXN,Medium,CPI (MoM)  (Dec),0.58%,,0.52%
2007-01-01,Monday,17:00,CAD,Medium,CPI (MoM)  (Dec),0.20%,,0.20%
2007-01-01,Monday,17:00,SEK,Medium,CPI (MoM)  (Dec),0.00%,,0.10%
2007-01-01,Monday,17:00,GBP,Medium,CPI (MoM)  (Dec),0.60%,,0.30%
2007-01-01,Monday,17:00,MXN,Medium,CPI (YoY)  (Dec),4.05%,,4.09%
2007-01-01,Monday,17:00,CAD,Low,CPI (YoY)  (Dec),1.70%,,1.40%
2007-01-01,Monday,17:00,SEK,Medium,CPI (YoY)  (Dec),1.60%,,1.70%
2007-01-01,Monday,17:00,GBP,High,CPI (YoY)  (Dec),3.00%,,2.70%
2007-01-01,Monday,17:00,USD,Low,"CPI Index, n.s.a.  (Dec)",201.80,,201.50
2007-01-01,Monday,17:00,USD,Low,Capacity Utilization Rate  (Dec),80.30%,,79.70%
2007-01-01,Monday,17:00,USD,Low,Chain Store Sales (MoM)  (Dec),3.30%,,2.50%
2007-01-01,Monday,17:00,USD,Low,Chain Store Sales (WoW)  (Dec),1.04%,,-0.34%
2007-01-01,Monday,17:00,USD,Low,Chain Store Sales (YoY)  (Dec),2.55%,,2.45%
2007-01-01,Monday,17:00,USD,Low,Challenger Job Cuts  (Dec),54.64K,,76.77K
2007-01-01,Monday,17:00,USD,Low,Chicago Fed National Activity  (Dec),0.87,,-0.19
2007-01-01,Monday,17:00,USD,High,Chicago PMI  (Dec),51.60,,51.10
2007-01-01,Monday,17:00,GBP,Medium,Claimant Count Change  (Dec),-9.40K,,-9.30K
2007-01-01,Monday,17:00,USD,Low,Cleveland CPI (MoM)  (Dec),0.20%,,0.20%
2007-01-01,Monday,17:00,USD,Medium,Construction Spending (MoM)  (Dec),1.40%,,-0.20%
2007-01-01,Monday,17:00,SEK,Low,Consumer Confidence  (Dec),108.20,,108.10
2007-01-01,Monday,17:00,MXN,Low,Consumer Confidence  (Dec),107.60,,108.70
2007-01-01,Monday,17:00,MXN,Low,Consumer Confidence n.s.a.  (Dec),109.70,,105.90
2007-01-01,Monday,17:00,USD,Medium,Consumer Credit  (Dec),15.16B,,11.93B
2007-01-01,Monday,17:00,USD,Medium,Continuing Jobless Claims  (Dec),"2,482.95K",,"2,480.91K"
2007-01-01,Monday,17:00,MXN,Low,Core CPI (MoM)  (Dec),0.40%,,0.26%
2007-01-01,Monday,17:00,CAD,Medium,Core CPI (MoM)  (Dec),-0.20%,,0.20%
2007-01-01,Monday,17:00,CAD,Medium,Core CPI (YoY)  (Dec),2.10%,,2.20%
2007-01-01,Monday,17:00,USD,Low,Core CPI Index  (Dec),208.10,,207.80
2007-01-01,Monday,17:00,USD,High,Core PCE Price Index (MoM)  (Dec),0.20%,,0.00%
2007-01-01,Monday,17:00,USD,High,Core PCE Price Index (YoY)  (Dec),2.10%,,2.10%
2007-01-01,Monday,17:00,GBP,Low,Core PPI Output (MoM)  (Dec),0.00%,,0.00%
2007-01-01,Monday,17:00,GBP,Low,Core PPI Output (YoY)  (Dec),1.30%,,1.50%
